"name","born","died","borncountry","borncity","bornlong","bornlat","diedcountry","diedcity","diedlong","diedlat","gender","year","category","motivation","institutionname","institutioncity","institutioncountry"
"Heinrich Otto Wieland","1877-06-04","1957-08-05","Germany","Pforzheim",8.6946286,48.8921862,"West Germany (now Germany)","Munich",11.5819805,48.1351253,"male",1927,"chemistry","""for his investigations of the constitution of the bile acids and related substances""","Munich University","Munich","Germany"
"Adolf Otto Reinhold Windaus","1876-12-25","1959-06-09","Germany","Berlin",13.404954,52.5200066,"West Germany (now Germany)","Gottingen",9.9158035,51.5412804,"male",1928,"chemistry","""for the services rendered through his research into the constitution of the sterols and their connection with the vitamins""","Goettingen University","Gottingen","Germany"
"Otto Hahn","1879-03-08","1968-07-28","Germany","Frankfurt-on-the-Main",8.6821267,50.1109221,"West Germany (now Germany)","Gottingen",9.9158035,51.5412804,"male",1944,"chemistry","""for his discovery of the fission of heavy nuclei""","Kaiser-Wilhelm-Institut (now Max-Planck Institut) fur Chemie","Berlin-Dahlem","Germany"
"Otto Paul Hermann Diels","1876-01-23","1954-03-07","Germany","Hamburg",9.9936819,53.5510846,"West Germany (now Germany)","Kiel",10.1227651,54.3232927,"male",1950,"chemistry","""for their discovery and development of the diene synthesis""","Kiel University","Kiel","Federal Republic of Germany"
"Hermann Staudinger","1881-03-23","1965-09-08","Germany","Worms",8.3507182,49.6341372,"West Germany (now Germany)","Freiburg im Breisgau",7.8421043,47.9990077,"male",1953,"chemistry","""for his discoveries in the field of macromolecular chemistry""","University of Freiburg","Breisgau","Federal Republic of Germany"
"Hermann Staudinger","1881-03-23","1965-09-08","Germany","Worms",8.3507182,49.6341372,"West Germany (now Germany)","Freiburg im Breisgau",7.8421043,47.9990077,"male",1953,"chemistry","""for his discoveries in the field of macromolecular chemistry""","Staatliches Institut fur makromolekulare Chemie (State Research Institute for Macromolecular Chemistry), Freiburg","Breisgau","Federal Republic of Germany"
"Karl Ziegler","1898-11-26","1973-08-12","Germany","Helsa",9.6863827,51.2573397,"West Germany (now Germany)","Mulheim",6.8845226,51.4185682,"male",1963,"chemistry","""for their discoveries in the field of the chemistry and technology of high polymers""","Max-Planck-Institut fur Kohlenforschung (Max-Planck-Institute for Carbon Research)","Mulheim/Ruhr","Federal Republic of Germany"
"Georg Wittig","1897-06-16","1987-08-26","Germany","Berlin",13.404954,52.5200066,"West Germany (now Germany)","Heidelberg",8.6724335,49.3987524,"male",1979,"chemistry","""for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis""","University of Heidelberg","Heidelberg","Federal Republic of Germany"
"Otto Heinrich Warburg","1883-10-08","1970-08-01","Germany","Freiburg im Breisgau",7.8421043,47.9990077,"West Germany (now Germany)","West Berlin",13.404954,52.5200066,"male",1931,"medicine","""for his discovery of the nature and mode of action of the respiratory enzyme""","Kaiser-Wilhelm-Institut (now Max-Planck-Institut) fur Biologie","Berlin-Dahlem","Germany"
"Werner Forssmann","1904-08-29","1979-06-01","Germany","Berlin",13.404954,52.5200066,"West Germany (now Germany)","Schopfheim",7.8235713,47.6518603,"male",1956,"medicine","""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""","Mainz University","Mainz","Federal Republic of Germany"
