"name","born","died","borncountry","borncity","bornlong","bornlat","diedcountry","diedcity","diedlong","diedlat","gender","year","category","motivation","institutionname","institutioncity","institutioncountry"
"Ernest Orlando Lawrence","1901-08-08","1958-08-27","USA","Canton, SD",-96.5928198,43.3008146,"USA","Palo Alto, CA",-122.1430195,37.4418834,"male",1939,"physics","""for the invention and development of the cyclotron and for results obtained with it, especially with regard to artificial radioactive elements""","University of California","Berkeley, CA","USA"
"Percy Williams Bridgman","1882-04-21","1961-08-20","USA","Cambridge, MA",-71.1097335,42.3736158,"USA","Randolph, NH",-71.2797985,44.3753393,"male",1946,"physics","""for the invention of an apparatus to produce extremely high pressures, and for the discoveries he made therewith in the field of high pressure physics""","Harvard University","Cambridge, MA","USA"
"Edward Mills Purcell","1912-08-30","1997-03-07","USA","Taylorville, IL",-89.294533,39.548935,"USA","Cambridge, MA",-71.1097335,42.3736158,"male",1952,"physics","""for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith""","Harvard University","Cambridge, MA","USA"
"Willis Eugene Lamb","1913-07-12","2008-05-15","USA","Los Angeles, CA",-118.2436849,34.0522342,"USA","Tucson, AZ",-110.9747108,32.2226066,"male",1955,"physics","""for his discoveries concerning the fine structure of the hydrogen spectrum""","Stanford University","Stanford, CA","USA"
"John Bardeen","1908-05-23","1991-01-30","USA","Madison, WI",-89.4012302,43.0730517,"USA","Boston, MA",-71.0588801,42.3600825,"male",1956,"physics","""for their researches on semiconductors and their discovery of the transistor effect""","University of Illinois","Urbana, IL","USA"
"John Bardeen","1908-05-23","1991-01-30","USA","Madison, WI",-89.4012302,43.0730517,"USA","Boston, MA",-71.0588801,42.3600825,"male",1972,"physics","""for their jointly developed theory of superconductivity, usually called the BCS-theory""","University of Illinois","Urbana, IL","USA"
"Owen Chamberlain","1920-07-10","2006-02-28","USA","San Francisco, CA",-122.4194155,37.7749295,"USA","Berkeley, CA",-122.272747,37.8715926,"male",1959,"physics","""for their discovery of the antiproton""","University of California","Berkeley, CA","USA"
"Donald Arthur Glaser","1926-09-21","2013-02-28","USA","Cleveland, OH",-81.6943605,41.49932,"USA","Berkeley, CA",-122.272747,37.8715926,"male",1960,"physics","""for the invention of the bubble chamber""","University of California","Berkeley, CA","USA"
"Robert Hofstadter","1915-02-05","1990-11-17","USA","New York, NY",-74.0059728,40.7127753,"USA","Stanford, CA",-122.1660756,37.424106,"male",1961,"physics","""for his pioneering studies of electron scattering in atomic nuclei and for his thereby achieved discoveries concerning the structure of the nucleons""","Stanford University","Stanford, CA","USA"
"Charles Hard Townes","1915-07-28","2015-01-27","USA","Greenville, SC",-82.3940104,34.8526176,"USA","Berkeley, CA",-122.272747,37.8715926,"male",1964,"physics","""for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle""","Massachusetts Institute of Technology (MIT)","Cambridge, MA","USA"
"Julian Schwinger","1918-02-12","1994-07-16","USA","New York, NY",-74.0059728,40.7127753,"USA","Los Angeles, CA",-118.2436849,34.0522342,"male",1965,"physics","""for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles""","Harvard University","Cambridge, MA","USA"
"Richard P Feynman","1918-05-11","1988-02-15","USA","New York, NY",-74.0059728,40.7127753,"USA","Los Angeles, CA",-118.2436849,34.0522342,"male",1965,"physics","""for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles""","California Institute of Technology (Caltech)","Pasadena, CA","USA"
"Luis Walter Alvarez","1911-06-13","1988-09-01","USA","San Francisco, CA",-122.4194155,37.7749295,"USA","Berkeley, CA",-122.272747,37.8715926,"male",1968,"physics","""for his decisive contributions to elementary particle physics, in particular the discovery of a large number of resonance states, made possible through his development of the technique of using hydrogen bubble chamber and data analysis""","University of California","Berkeley, CA","USA"
"Leo James Rainwater","1917-12-09","1986-03-31","USA","Council, ID",-116.4381985,44.7298876,"USA","Yonkers, NY",-73.8987469,40.9312099,"male",1975,"physics","""for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection""","Columbia University","New York, NY","USA"
"John Hasbrouck van Vleck","1899-03-13","1980-10-27","USA","Middletown, CT",-72.6506488,41.5623209,"USA","Cambridge, MA",-71.1097335,42.3736158,"male",1977,"physics","""for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems""","Harvard University","Cambridge, MA","USA"
"James Watson Cronin","1931-09-29","2016-08-25","USA","Chicago, IL",-87.6297982,41.8781136,"USA","St. Paul, MN",-93.0899578,44.9537029,"male",1980,"physics","""for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons""","University of Chicago","Chicago, IL","USA"
"Val Logsdon Fitch","1923-03-10","2015-02-05","USA","Merriman, NE",-101.7007033,42.9197225,"USA","Princeton, NJ",-74.6672226,40.3572976,"male",1980,"physics","""for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons""","Princeton University","Princeton, NJ","USA"
"Arthur Leonard Schawlow","1921-05-05","1999-04-28","USA","Mount Verno, NY",-73.8370786,40.9125992,"USA","Palo Alto, CA",-122.1430195,37.4418834,"male",1981,"physics","""for their contribution to the development of laser spectroscopy""","Stanford University","Stanford, CA","USA"
"Kenneth G Wilson","1936-06-08","2013-06-15","USA","Waltham, MA",-71.2356113,42.3764852,"USA","Saco, ME",-70.4428286,43.5009176,"male",1982,"physics","""for his theory for critical phenomena in connection with phase transitions""","Cornell University","Ithaca, NY","USA"
"William Alfred Fowler","1911-08-09","1995-03-14","USA","Pittsburgh, PA",-79.9958864,40.4406248,"USA","Pasadena, CA",-118.1445155,34.1477849,"male",1983,"physics","""for his theoretical and experimental studies of the nuclear reactions of importance in the formation of the chemical elements in the universe""","California Institute of Technology (Caltech)","Pasadena, CA","USA"
"Melvin Schwartz","1932-11-02","2006-08-28","USA","New York, NY",-74.0059728,40.7127753,"USA","Twin Falls, ID",-114.4700518,42.5558381,"male",1988,"physics","""for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino""","Digital Pathways, Inc.","Mountain View, CA","USA"
"Norman F Ramsey","1915-08-27","2011-11-04","USA","Washington, DC",-77.0368707,38.9071923,"USA","Wayland, MA",-71.3614484,42.3625953,"male",1989,"physics","""for the invention of the separated oscillatory fields method and its use in the hydrogen maser and other atomic clocks""","Harvard University","Cambridge, MA","USA"
"Henry W Kendall","1926-12-09","1999-02-15","USA","Boston, MA",-71.0588801,42.3600825,"USA","Wakulla Springs State Park, FL",-84.3051759,30.2335355,"male",1990,"physics","""for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics""","Massachusetts Institute of Technology (MIT)","Cambridge, MA","USA"
"Clifford G Shull","1915-09-23","2001-03-31","USA","Pittsburgh, PA",-79.9958864,40.4406248,"USA","Medford, MA",-71.1061639,42.4184296,"male",1994,"physics","""for the development of the neutron diffraction technique""","Massachusetts Institute of Technology (MIT)","Cambridge, MA","USA"
"Martin L Perl","1927-06-24","2014-09-30","USA","New York, NY",-74.0059728,40.7127753,"USA","Palo Alto, CA",-122.1430195,37.4418834,"male",1995,"physics","""for the discovery of the tau lepton""","Stanford University","Stanford, CA","USA"
"Frederick Reines","1918-03-16","1998-08-26","USA","Paterson, NJ",-74.171811,40.9167654,"USA","Orange, CA",-117.8531007,33.7879139,"male",1995,"physics","""for the detection of the neutrino""","University of California","Irvine, CA","USA"
"Robert C Richardson","1937-06-26","2013-02-19","USA","Washington, DC",-77.0368707,38.9071923,"USA","Ithaca, NY",-76.5018807,42.4439614,"male",1996,"physics","""for their discovery of superfluidity in helium-3""","Cornell University","Ithaca, NY","USA"
"Theodore William Richards","1868-01-31","1928-04-02","USA","Germantown, PA",-75.1749671,40.028521,"USA","Cambridge, MA",-71.1097335,42.3736158,"male",1914,"chemistry","""in recognition of his accurate determinations of the atomic weight of a large number of chemical elements""","Harvard University","Cambridge, MA","USA"
"Irving Langmuir","1881-01-31","1957-08-16","USA","Brooklyn, NY",-73.9441579,40.6781784,"USA","Falmouth, MA",-70.6085886,41.5532208,"male",1932,"chemistry","""for his discoveries and investigations in surface chemistry""","General Electric Company","Schenectady, NY","USA"
"Harold Clayton Urey","1893-04-29","1981-01-05","USA","Walkerton, IN",-86.4830681,41.4667113,"USA","La Jolla, CA",-117.2712717,32.8328112,"male",1934,"chemistry","""for his discovery of heavy hydrogen""","Columbia University","New York, NY","USA"
"James Batcheller Sumner","1887-11-19","1955-08-12","USA","Canton, MA",-71.1447732,42.1584324,"USA","Buffalo, NY",-78.8783689,42.8864468,"male",1946,"chemistry","""for his discovery that enzymes can be crystallized""","Cornell University","Ithaca, NY","USA"
"John Howard Northrop","1891-07-05","1987-05-27","USA","Yonkers, NY",-73.8987469,40.9312099,"USA","Wickenberg, AZ",-112.7301882,33.9697664,"male",1946,"chemistry","""for their preparation of enzymes and virus proteins in a pure form""","Rockefeller Institute for Medical Research","Princeton, NJ","USA"
"Wendell Meredith Stanley","1904-08-16","1971-06-15","USA","Ridgeville, IN",-85.028857,40.2892107,"Spain","Salamanca",-5.6635397,40.9701039,"male",1946,"chemistry","""for their preparation of enzymes and virus proteins in a pure form""","Rockefeller Institute for Medical Research","Princeton, NJ","USA"
"Edwin Mattison McMillan","1907-09-18","1991-09-07","USA","Redondo Beach, CA",-118.3884078,33.8491816,"USA","El Cerrito, CA",-122.310765,37.9161326,"male",1951,"chemistry","""for their discoveries in the chemistry of the transuranium elements""","University of California","Berkeley, CA","USA"
"Glenn Theodore Seaborg","1912-04-19","1999-02-25","USA","Ishpeming, MI",-87.6676358,46.4885469,"USA","Lafayette, CA",-122.1180201,37.8857582,"male",1951,"chemistry","""for their discoveries in the chemistry of the transuranium elements""","University of California","Berkeley, CA","USA"
"Linus Carl Pauling","1901-02-28","1994-08-19","USA","Portland, OR",-122.6764815,45.5230622,"USA","Big Sur, CA",-121.856261,36.3614749,"male",1954,"chemistry","""for his research into the nature of the chemical bond and its application to the elucidation of the structure of complex substances""","California Institute of Technology (Caltech)","Pasadena, CA","USA"
"Vincent du Vigneaud","1901-05-18","1978-12-11","USA","Chicago, IL",-87.6297982,41.8781136,"USA","White Plains, NY",-73.7629097,41.0339862,"male",1955,"chemistry","""for his work on biochemically important sulphur compounds, especially for the first synthesis of a polypeptide hormone""","Cornell University","Ithaca, NY","USA"
"Willard Frank Libby","1908-12-17","1980-09-08","USA","Grand Valley, CO",-108.5506486,39.0638705,"USA","Los Angeles, CA",-118.2436849,34.0522342,"male",1960,"chemistry","""for his method to use carbon-14 for age determination in archaeology, geology, geophysics, and other branches of science""","University of California","Los Angeles, CA","USA"
"Melvin Calvin","1911-04-08","1997-01-08","USA","St. Paul, MN",-93.0899578,44.9537029,"USA","Berkeley, CA",-122.272747,37.8715926,"male",1961,"chemistry","""for his research on the carbon dioxide assimilation in plants""","University of California","Berkeley, CA","USA"
"Robert Burns Woodward","1917-04-10","1979-07-08","USA","Boston, MA",-71.0588801,42.3600825,"USA","Cambridge, MA",-71.1097335,42.3736158,"male",1965,"chemistry","""for his outstanding achievements in the art of organic synthesis""","Harvard University","Cambridge, MA","USA"
"Robert S Mulliken","1896-06-07","1986-10-31","USA","Newburyport, MA",-70.8772751,42.8125913,"USA","Arlington, VA",-77.1067698,38.8799697,"male",1966,"chemistry","""for his fundamental work concerning chemical bonds and the electronic structure of molecules by the molecular orbital method""","University of Chicago","Chicago, IL","USA"
"Christian B Anfinsen","1916-03-26","1995-05-14","USA","Monessen, PA",-79.8878254,40.1484053,"USA","Randallstown, MD",-76.7952525,39.3673278,"male",1972,"chemistry","""for his work on ribonuclease, especially concerning the connection between the amino acid sequence and the biologically active conformation""","National Institutes of Health","Bethesda, MD","USA"
"Stanford Moore","1913-09-04","1982-08-23","USA","Chicago, IL",-87.6297982,41.8781136,"USA","New York, NY",-74.0059728,40.7127753,"male",1972,"chemistry","""for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule""","Rockefeller University","New York, NY","USA"
"William H Stein","1911-06-25","1980-02-02","USA","New York, NY",-74.0059728,40.7127753,"USA","New York, NY",-74.0059728,40.7127753,"male",1972,"chemistry","""for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule""","Rockefeller University","New York, NY","USA"
"Paul J Flory","1910-06-19","1985-09-08","USA","Sterling, IL",-89.6962194,41.788642,"USA","Big Sur, CA",-121.856261,36.3614749,"male",1974,"chemistry","""for his fundamental achievements, both theoretical and experimental, in the physical chemistry of the macromolecules""","Stanford University","Stanford, CA","USA"
"William N Lipscomb","1919-12-09","2011-04-14","USA","Cleveland, OH",-81.6943605,41.49932,"USA","Cambridge, MA",-71.1097335,42.3736158,"male",1976,"chemistry","""for his studies on the structure of boranes illuminating problems of chemical bonding""","Harvard University","Cambridge, MA","USA"
"Robert Bruce Merrifield","1921-07-15","2006-05-14","USA","Fort Worth, TX",-97.3307658,32.7554883,"USA","Cresskill, NJ",-73.9593041,40.9414874,"male",1984,"chemistry","""for his development of methodology for chemical synthesis on a solid matrix""","Rockefeller University","New York, NY","USA"
"Herbert A Hauptman","1917-02-14","2011-10-23","USA","New York, NY",-74.0059728,40.7127753,"USA","Buffalo, NY",-78.8783689,42.8864468,"male",1985,"chemistry","""for their outstanding achievements in the development of direct methods for the determination of crystal structures""","The Medical Foundation of Buffalo","Buffalo, NY","USA"
"Donald J Cram","1919-04-22","2001-06-17","USA","Chester, VT",-72.5951082,43.2628476,"USA","Palm Desert, CA",-116.3744556,33.7222445,"male",1987,"chemistry","""for their development and use of molecules with structure-specific interactions of high selectivity""","University of California","Los Angeles, CA","USA"
"F Sherwood Rowland","1927-06-28","2012-03-10","USA","Delaware, OH",-83.067965,40.2986724,"USA","Corona del Mar, CA",-117.8730142,33.5978595,"male",1995,"chemistry","""for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone""","University of California","Irvine, CA","USA"
"Richard E Smalley","1943-06-06","2005-10-28","USA","Akron, OH",-81.5190053,41.0814447,"USA","Houston, TX",-95.3698028,29.7604267,"male",1996,"chemistry","""for their discovery of fullerenes""","Rice University","Houston, TX","USA"
"Thomas Hunt Morgan","1866-09-25","1945-12-04","USA","Lexington, KY",-84.5037164,38.0405837,"USA","Pasadena, CA",-118.1445155,34.1477849,"male",1933,"medicine","""for his discoveries concerning the role played by the chromosome in heredity""","California Institute of Technology (Caltech)","Pasadena, CA","USA"
"George Hoyt Whipple","1878-08-28","1976-02-01","USA","Ashland, NH",-71.6306318,43.695318,"USA","Rochester, NY",-77.6088465,43.1565779,"male",1934,"medicine","""for their discoveries concerning liver therapy in cases of anaemia""","University of Rochester","Rochester, NY","USA"
"George Richards Minot","1885-12-02","1950-02-25","USA","Boston, MA",-71.0588801,42.3600825,"USA","Brookline, MA",-71.1211635,42.3317642,"male",1934,"medicine","""for their discoveries concerning liver therapy in cases of anaemia""","Harvard University","Cambridge, MA","USA"
"William Parry Murphy","1892-02-06","1987-10-09","USA","Stoughton, WI",-89.2178937,42.9169462,"USA","Brookline, MA",-71.1211635,42.3317642,"male",1934,"medicine","""for their discoveries concerning liver therapy in cases of anaemia""","Harvard University","Cambridge, MA","USA"
"William Parry Murphy","1892-02-06","1987-10-09","USA","Stoughton, WI",-89.2178937,42.9169462,"USA","Brookline, MA",-71.1211635,42.3317642,"male",1934,"medicine","""for their discoveries concerning liver therapy in cases of anaemia""","Peter Brent Brigham Hospital","Boston, MA","USA"
"Edward Adelbert Doisy","1893-11-13","1986-10-23","USA","Hume, IL",-87.8686414,39.7967015,"USA","St. Louis, MO",-90.1994042,38.6270025,"male",1943,"medicine","""for his discovery of the chemical nature of vitamin K""","Saint Louis University","St. Louis, MO","USA"
"Joseph Erlanger","1874-01-05","1965-12-05","USA","San Francisco, CA",-122.4194155,37.7749295,"USA","St. Louis, MO",-90.1994042,38.6270025,"male",1944,"medicine","""for their discoveries relating to the highly differentiated functions of single nerve fibres""","Washington University","St. Louis, MO","USA"
"Herbert Spencer Gasser","1888-07-05","1963-05-11","USA","Platteville, WI",-90.4784621,42.73416,"USA","New York, NY",-74.0059728,40.7127753,"male",1944,"medicine","""for their discoveries relating to the highly differentiated functions of single nerve fibres""","Rockefeller Institute for Medical Research","New York, NY","USA"
"Edward Calvin Kendall","1886-03-08","1972-05-04","USA","South Norwalk, CT",-73.4187303,41.0937079,"USA","Princeton, NJ",-74.6672226,40.3572976,"male",1950,"medicine","""for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects""","Mayo Clinic","Rochester, MN","USA"
"Philip Showalter Hench","1896-02-28","1965-03-30","USA","Pittsburgh, PA",-79.9958864,40.4406248,"Jamaica","Ocho Rios",-77.1031345,18.4073894,"male",1950,"medicine","""for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects""","Mayo Clinic","Rochester, MN","USA"
"John Franklin Enders","1897-02-10","1985-09-08","USA","West Hartford, CT",-72.7420151,41.7620842,"USA","Waterford, CT",-72.164816,41.3542395,"male",1954,"medicine","""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue""","Harvard Medical School","Boston, MA","USA"
"John Franklin Enders","1897-02-10","1985-09-08","USA","West Hartford, CT",-72.7420151,41.7620842,"USA","Waterford, CT",-72.164816,41.3542395,"male",1954,"medicine","""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue""","Research Division of Infectious Diseases, Children's Medical Center","Boston, MA","USA"
"Thomas Huckle Weller","1915-06-15","2008-08-23","USA","Ann Arbor, MI",-83.7430378,42.2808256,"USA","Needham, MA",-71.2377548,42.2809285,"male",1954,"medicine","""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue""","Research Division of Infectious Diseases, Children's Medical Center","Boston, MA","USA"
"Frederick Chapman Robbins","1916-08-25","2003-08-04","USA","Auburn, AL",-85.4807825,32.6098566,"USA","Cleveland, OH",-81.6943605,41.49932,"male",1954,"medicine","""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue""","Western Reserve University","Cleveland, OH","USA"
"Dickinson W Richards","1895-10-30","1973-02-23","USA","Orange, NJ",-74.2326478,40.7706187,"USA","Lakeville, CT",-73.4408034,41.9644861,"male",1956,"medicine","""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""","Columbia University","New York, NY","USA"
"George Wells Beadle","1903-10-22","1989-06-09","USA","Wahoo, NE",-96.6212604,41.2115023,"USA","Pomona, CA",-117.7499909,34.055103,"male",1958,"medicine","""for their discovery that genes act by regulating definite chemical events""","California Institute of Technology (Caltech)","Pasadena, CA","USA"
"Edward Lawrie Tatum","1909-12-14","1975-11-05","USA","Boulder, CO",-105.2705456,40.0149856,"USA","New York, NY",-74.0059728,40.7127753,"male",1958,"medicine","""for their discovery that genes act by regulating definite chemical events""","Rockefeller Institute for Medical Research","New York, NY","USA"
"Joshua Lederberg","1925-05-23","2008-02-02","USA","Montclair, NJ",-74.2090053,40.8259007,"USA","New York, NY",-74.0059728,40.7127753,"male",1958,"medicine","""for his discoveries concerning genetic recombination and the organization of the genetic material of bacteria""","University of Wisconsin","Madison, WI","USA"
"Arthur Kornberg","1918-03-03","2007-10-26","USA","Brooklyn, NY",-73.9441579,40.6781784,"USA","Stanford, CA",-122.1660756,37.424106,"male",1959,"medicine","""for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid""","Stanford University","Stanford, CA","USA"
"Peyton Rous","1879-10-05","1970-02-16","USA","Baltimore, MD",-76.6121893,39.2903848,"USA","New York, NY",-74.0059728,40.7127753,"male",1966,"medicine","""for his discovery of tumour-inducing viruses""","Rockefeller University","New York, NY","USA"
"Haldan Keffer Hartline","1903-12-22","1983-03-17","USA","Bloomsburg, PA",-76.4549457,41.003698,"USA","Fallston, MD",-76.4110732,39.5145515,"male",1967,"medicine","""for their discoveries concerning the primary physiological and chemical visual processes in the eye""","Rockefeller University","New York, NY","USA"
"George Wald","1906-11-18","1997-04-12","USA","New York, NY",-74.0059728,40.7127753,"USA","Cambridge, MA",-71.1097335,42.3736158,"male",1967,"medicine","""for their discoveries concerning the primary physiological and chemical visual processes in the eye""","Harvard University","Cambridge, MA","USA"
"Robert W Holley","1922-01-28","1993-02-11","USA","Urbana, IL",-88.2072697,40.1105875,"USA","Los Gatos, CA",-121.9623751,37.2358078,"male",1968,"medicine","""for their interpretation of the genetic code and its function in protein synthesis""","Cornell University","Ithaca, NY","USA"
"Marshall W Nirenberg","1927-04-10","2010-01-15","USA","New York, NY",-74.0059728,40.7127753,"USA","New York, NY",-74.0059728,40.7127753,"male",1968,"medicine","""for their interpretation of the genetic code and its function in protein synthesis""","National Institutes of Health","Bethesda, MD","USA"
"Alfred D Hershey","1908-12-04","1997-05-22","USA","Owosso, MI",-84.1766358,42.9978049,"USA","Syosset, NY",-73.502068,40.8262101,"male",1969,"medicine","""for their discoveries concerning the replication mechanism and the genetic structure of viruses""","Carnegie Institution of Washington","Long Island, New York, NY","USA"
"Julius Axelrod","1912-05-30","2004-12-29","USA","New York, NY",-74.0059728,40.7127753,"USA","Rockville, MD",-77.1527578,39.0839973,"male",1970,"medicine","""for their discoveries concerning the humoral transmittors in the nerve terminals and the mechanism for their storage, release and inactivation""","National Institutes of Health","Bethesda, MD","USA"
"Earl W Sutherland Jr","1915-11-19","1974-03-09","USA","Burlingame, KS",-95.8349868,38.7538946,"USA","Miami, FL",-80.1917902,25.7616798,"male",1971,"medicine","""for his discoveries concerning the mechanisms of the action of hormones""","Vanderbilt University","Nashville, TN","USA"
"Gerald M Edelman","1929-07-01","2014-05-17","USA","New York, NY",-74.0059728,40.7127753,"USA","La Jolla, CA",-117.2712717,32.8328112,"male",1972,"medicine","""for their discoveries concerning the chemical structure of antibodies""","Rockefeller University","New York, NY","USA"
"Howard Martin Temin","1934-12-10","1994-02-09","USA","Philadelphia, PA",-75.1652215,39.9525839,"USA","Madison, WI",-89.4012302,43.0730517,"male",1975,"medicine","""for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell""","University of Wisconsin","Madison, WI","USA"
"Baruch S Blumberg","1925-07-28","2011-04-05","USA","New York, NY",-74.0059728,40.7127753,"USA","Moffett Field, CA",-122.0401969,37.4205669,"male",1976,"medicine","""for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases""","The Institute for Cancer Research","Philadelphia, PA","USA"
"D Carleton Gajdusek","1923-09-09","2008-12-12","USA","Yonkers, NY",-73.8987469,40.9312099,"Norway","Tromso",18.9553239,69.6492047,"male",1976,"medicine","""for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases""","National Institutes of Health","Bethesda, MD","USA"
"Rosalyn Yalow","1921-07-19","2011-05-30","USA","New York, NY",-74.0059728,40.7127753,"USA","New York, NY",-74.0059728,40.7127753,"female",1977,"medicine","""for the development of radioimmunoassays of peptide hormones""","Veterans Administration Hospital","Bronx, NY","USA"
"Daniel Nathans","1928-10-30","1999-11-16","USA","Wilmington, DE",-75.5397878,39.7390721,"USA","Baltimore, MD",-76.6121893,39.2903848,"male",1978,"medicine","""for the discovery of restriction enzymes and their application to problems of molecular genetics""","Johns Hopkins University School of Medicine","Baltimore, MD","USA"
"George D Snell","1903-12-19","1996-06-06","USA","Bradford, MA",-71.0758905,42.7695348,"USA","Bar Harbor, ME",-68.2039123,44.3876119,"male",1980,"medicine","""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions""","Jackson Laboratory","Bar Harbor, ME","USA"
"Roger W Sperry","1913-08-20","1994-04-17","USA","Hartford, CT",-72.6733723,41.7658043,"USA","Pasadena, CA",-118.1445155,34.1477849,"male",1981,"medicine","""for his discoveries concerning the functional specialization of the cerebral hemispheres""","California Institute of Technology (Caltech)","Pasadena, CA","USA"
"Barbara McClintock","1902-06-16","1992-09-02","USA","Hartford, CT",-72.6733723,41.7658043,"USA","Huntington, NY",-73.425676,40.8681539,"female",1983,"medicine","""for her discovery of mobile genetic elements""","Cold Spring Harbor Laboratory","Cold Spring Harbor, NY","USA"
"Gertrude B Elion","1918-01-23","1999-02-21","USA","New York, NY",-74.0059728,40.7127753,"USA","Chapel Hill, NC",-79.0558445,35.9131996,"female",1988,"medicine","""for their discoveries of important principles for drug treatment""","Wellcome Research Laboratories","Research Triangle Park, NC","USA"
"George H Hitchings","1905-04-18","1998-02-27","USA","Hoquiam, WA",-123.8893348,46.9809247,"USA","Chapel Hill, NC",-79.0558445,35.9131996,"male",1988,"medicine","""for their discoveries of important principles for drug treatment""","Wellcome Research Laboratories","Research Triangle Park, NC","USA"
"Joseph E Murray","1919-04-01","2012-11-26","USA","Milford, MA",-71.5163049,42.1398577,"USA","Boston, MA",-71.0588801,42.3600825,"male",1990,"medicine","""for their discoveries concerning organ and cell transplantation in the treatment of human disease""","Brigham and Women's Hospital","Boston, MA","USA"
"E Donnall Thomas","1920-03-15","2012-10-20","USA","Mart, TX",-96.8336015,31.5423911,"USA","Seattle, WA",-122.3320708,47.6062095,"male",1990,"medicine","""for their discoveries concerning organ and cell transplantation in the treatment of human disease""","Fred Hutchinson Cancer Research Center","Seattle, WA","USA"
"Edwin G Krebs","1918-06-06","2009-12-21","USA","Lansing, IA",-91.218768,43.3609053,"USA","Seattle, WA",-122.3320708,47.6062095,"male",1992,"medicine","""for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism""","University of Washington","Seattle, WA","USA"
"Alfred G Gilman","1941-07-01","2015-12-23","USA","New Haven, CT",-72.9278835,41.308274,"USA","Dallas, TX",-96.7969879,32.7766642,"male",1994,"medicine","""for their discovery of G-proteins and the role of these proteins in signal transduction in cells""","University of Texas Southwestern Medical Center at Dallas","Dallas, TX","USA"
"Martin Rodbell","1925-12-01","1998-12-07","USA","Baltimore, MD",-76.6121893,39.2903848,"USA","Chapel Hill, NC",-79.0558445,35.9131996,"male",1994,"medicine","""for their discovery of G-proteins and the role of these proteins in signal transduction in cells""","National Institute of Environmental Health Sciences","Research Triangle Park, NC","USA"
"Edward B Lewis","1918-05-20","2004-07-21","USA","Wilkes-Barre, PA",-75.8813075,41.2459149,"USA","Pasadena, CA",-118.1445155,34.1477849,"male",1995,"medicine","""for their discoveries concerning the genetic control of early embryonic development""","California Institute of Technology (Caltech)","Pasadena, CA","USA"
"Robert F Furchgott","1916-06-04","2009-05-19","USA","Charleston, SC",-79.9310512,32.7764749,"USA","Seattle, WA",-122.3320708,47.6062095,"male",1998,"medicine","""for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system""","SUNY Health Science Center","Brooklyn, NY","USA"
"Paul A Samuelson","1915-05-15","2009-12-13","USA","Gary, IN",-87.3464271,41.5933696,"USA","Belmont, MA",-71.1776114,42.3956405,"male",1970,"economics","""for the scientific work through which he has developed static and dynamic economic theory and actively contributed to raising the level of analysis in economic science""","Massachusetts Institute of Technology (MIT)","Cambridge, MA","USA"
"Kenneth J Arrow","1921-08-23","2017-02-21","USA","New York, NY",-74.0059728,40.7127753,"USA","Palo Alto, CA",-122.1430195,37.4418834,"male",1972,"economics","""for their pioneering contributions to general economic equilibrium theory and welfare theory""","Harvard University","Cambridge, MA","USA"
"Milton Friedman","1912-07-31","2006-11-16","USA","Brooklyn, NY",-73.9441579,40.6781784,"USA","San Francisco, CA",-122.4194155,37.7749295,"male",1976,"economics","""for his achievements in the fields of consumption analysis, monetary history and theory and for his demonstration of the complexity of stabilization policy""","University of Chicago","Chicago, IL","USA"
"Herbert A Simon","1916-06-15","2001-02-09","USA","Milwaukee, WI",-87.9064736,43.0389025,"USA","Pittsburgh, PA",-79.9958864,40.4406248,"male",1978,"economics","""for his pioneering research into the decision-making process within economic organizations""","Carnegie Mellon University","Pittsburgh, PA","USA"
